ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population
299,5/31/2020,Unincorporated - Valinda,93,93,385,1,4,5,731,3128,3093,23371
300,5/31/2020,Unincorporated - View Park/Windsor Hills,34,34,263,2,17,7,993,8535,7925,11635
301,5/31/2020,Unincorporated - Walnut Park,126,126,775,3,19,17,551,3413,3355,16143
302,5/31/2020,Unincorporated - West Antelope Valley,2,2,211,0,0,0,25,1655,1389,1511
303,5/31/2020,Unincorporated - West Carson,101,101,383,10,45,27,1211,5483,5003,22086
304,5/31/2020,Unincorporated - West LA,23,23,1690,2,210,67,374,39286,30345,952
305,5/31/2020,Unincorporated - West Puente Valley,45,45,454,0,0,0,321,3264,3143,9835
306,5/31/2020,Unincorporated - West Rancho Dominguez,5,5,394,1,74,63,59,4341,3931,1359
307,5/31/2020,Unincorporated - West Whittier/Los Nietos,148,148,549,4,15,15,844,3135,3127,26925
308,5/31/2020,Unincorporated - White Fence Farms,6,6,118,0,0,0,120,3258,3381,3683
309,5/31/2020,Unincorporated - Whittier,14,14,378,0,0,0,121,3198,3073,3784
310,5/31/2020,Unincorporated - Willowbrook,208,208,613,4,11,15,1763,5050,5220,34913
311,5/31/2020,Unincorporated - Wiseburn,18,18,268,0,0,0,347,5757,5595,6027
